country,continent,year,lifeExp,pop,logGdpPerCap
Bahrain,Asia,2007,75.635,708573,10.302131057660269
Bangladesh,Asia,1952,37.484,46886859,6.5283148299451605
Bangladesh,Asia,1957,39.348,51365468,6.494717758944778
Bangladesh,Asia,1962,41.216,56839289,6.531375395655606
Bangladesh,Asia,1967,43.453,62821884,6.580897198575116
Bangladesh,Asia,1972,45.252,70759295,6.446090586357295
Bangladesh,Asia,1977,46.923,80428306,6.492053805899945
Bangladesh,Asia,1982,50.009,93074406,6.517644486142878
Bangladesh,Asia,1987,52.819,103764241,6.622708934611989
Bangladesh,Asia,1992,56.018,113704579,6.730791540571114
Bangladesh,Asia,1997,59.412,123315288,6.880147708105913
Bangladesh,Asia,2002,62.013,135656790,7.035612228614056
Bangladesh,Asia,2007,64.062,150448339,7.237960628192509
Belgium,Europe,1952,68,8730405,9.029190743445964
Belgium,Europe,1957,69.24,8989111,9.18142230858665
Belgium,Europe,1962,70.25,9218400,9.304850846647033
Belgium,Europe,1967,70.94,9556500,9.484104121639621
Belgium,Europe,1972,71.44,9709100,9.72149455536055
Belgium,Europe,1977,72.8,9821800,9.858384243755154
Belgium,Europe,1982,73.93,9856303,9.951317536356102
Belgium,Europe,1987,75.35,9870200,10.022406080166313
Belgium,Europe,1992,76.46,10045622,10.149392904940367
Belgium,Europe,1997,77.53,10199787,10.224164143270645
Belgium,Europe,2002,78.32,10311970,10.325019027588773
Belgium,Europe,2007,79.441,10392226,10.425033658433435
Benin,Africa,1952,38.223,1738315,6.968617237337909
Benin,Africa,1957,40.358,1925173,6.866517656954901
Benin,Africa,1962,42.618,2151895,6.855934544575183
Benin,Africa,1967,44.885,2427334,6.942959678882372
Benin,Africa,1972,47.014,2761407,6.990069447088882
Benin,Africa,1977,49.19,3168267,6.936499430068043
Benin,Africa,1982,50.904,3641603,7.152971519052232
Benin,Africa,1987,52.337,4243788,7.111394662616664
Benin,Africa,1992,53.919,4981671,7.082722929468553
Benin,Africa,1997,54.777,6066080,7.117185464034122
Benin,Africa,2002,54.406,7026113,7.224664495042041
Benin,Africa,2007,56.728,8078314,7.27329026764787
Bolivia,Americas,1952,40.414,2883315,7.892573943822745
Bolivia,Americas,1957,41.89,3211738,7.662790436401128
Bolivia,Americas,1962,43.428,3593918,7.687526178318643
Bolivia,Americas,1967,45.032,4040665,7.858210135216749
Bolivia,Americas,1972,46.714,4565872,7.999789760902462
Bolivia,Americas,1977,50.023,5079716,8.174166916893737
Bolivia,Americas,1982,53.859,5642224,8.057222409064673
Bolivia,Americas,1987,57.251,6156369,7.920697650500901
Bolivia,Americas,1992,59.957,6893451,7.99351860346229
Bolivia,Americas,1997,62.05,7693188,8.109568710840593
Bolivia,Americas,2002,63.883,8445134,8.135423913422155
Bolivia,Americas,2007,65.554,9119152,8.248564991242306
Bosnia and Herzegovina,Europe,1952,53.82,2791000,6.880931922638724
Bosnia and Herzegovina,Europe,1957,58.45,3076000,7.210810459348687
Bosnia and Herzegovina,Europe,1962,61.93,3349000,7.444063649344297
Bosnia and Herzegovina,Europe,1967,64.79,3585000,7.683565925258006
Bosnia and Herzegovina,Europe,1972,67.45,3819000,7.958636255199423
Bosnia and Herzegovina,Europe,1977,69.86,4086000,8.168622832141459
Bosnia and Herzegovina,Europe,1982,70.69,4172693,8.325212290685116
Bosnia and Herzegovina,Europe,1987,71.14,4338977,8.369647427661596
Bosnia and Herzegovina,Europe,1992,72.178,4256013,7.842585662503011
Bosnia and Herzegovina,Europe,1997,73.244,3607000,8.46933733048957
Bosnia and Herzegovina,Europe,2002,74.09,4165416,8.702672297733029
Bosnia and Herzegovina,Europe,2007,74.852,4552198,8.915472382958686
Botswana,Africa,1952,47.622,442308,6.7466954500086835
Botswana,Africa,1957,49.618,474639,6.82245066453523
Botswana,Africa,1962,51.52,512764,6.891274185208894
Botswana,Africa,1967,53.298,553541,7.102260062948873
Botswana,Africa,1972,56.024,619351,7.724716655134386
Botswana,Africa,1977,59.319,781472,8.075538411121467
Botswana,Africa,1982,61.484,970347,8.423133502422273
Botswana,Africa,1987,63.622,1151184,8.73325312907424
Botswana,Africa,1992,62.745,1342614,8.981444262003048
Botswana,Africa,1997,52.556,1536536,9.064984176902943
Botswana,Africa,2002,46.634,1630347,9.305978232632727
Botswana,Africa,2007,50.728,1639131,9.439056509151994
Brazil,Americas,1952,50.917,56602560,7.653942795588259
Brazil,Americas,1957,53.285,65551171,7.81897959381266
Brazil,Americas,1962,55.665,76039390,8.112703348182645
Brazil,Americas,1967,57.632,88049823,8.14027599331388
Brazil,Americas,1972,59.504,100840058,8.51433139377688
Brazil,Americas,1977,61.489,114313951,8.803892579291649
Brazil,Americas,1982,63.336,128962939,8.858060879301203
Brazil,Americas,1987,65.205,142938076,8.962788319389409
Brazil,Americas,1992,67.057,155975974,8.846537660175745
Brazil,Americas,1997,69.388,168546719,8.981930581333305
Brazil,Americas,2002,71.006,179914212,9.003465372596262
Brazil,Americas,2007,72.39,190010647,9.11226446181318
Bulgaria,Europe,1952,59.6,7274900,7.801508599829684
Bulgaria,Europe,1957,66.61,7651254,8.009253641263683
Bulgaria,Europe,1962,69.51,8012946,8.35569440939104
Bulgaria,Europe,1967,70.42,8310226,8.626406778451468
Bulgaria,Europe,1972,70.9,8576200,8.794445219267608
Bulgaria,Europe,1977,70.81,8797022,8.937512814622393
Bulgaria,Europe,1982,71.08,8892098,9.014835290803777
Bulgaria,Europe,1987,71.34,8971958,9.01673800430171
Bulgaria,Europe,1992,71.19,8658506,8.748721244431566
Bulgaria,Europe,1997,70.32,8066057,8.694567323194475
Bulgaria,Europe,2002,72.14,7661799,8.948557042982998
Bulgaria,Europe,2007,73.005,7322858,9.27620234384137
Burkina Faso,Africa,1952,31.975,4469979,6.297579267134175
Burkina Faso,Africa,1957,34.906,4713416,6.4251663294625985
Burkina Faso,Africa,1962,37.814,4919632,6.582734057356836
Burkina Faso,Africa,1967,40.697,5127935,6.678123926953756
Burkina Faso,Africa,1972,43.591,5433886,6.750792621599208
Burkina Faso,Africa,1977,46.137,5889574,6.6112168199925225
Burkina Faso,Africa,1982,48.122,6634596,6.693569716684048
Burkina Faso,Africa,1987,49.557,7586551,6.815709221997922
Burkina Faso,Africa,1992,50.26,8878303,6.8370675145824675
Burkina Faso,Africa,1997,50.324,10352843,6.852554319395607
Burkina Faso,Africa,2002,50.65,12251209,6.944709214357873
Burkina Faso,Africa,2007,52.295,14326203,7.104171203548545
Burundi,Africa,1952,39.031,2445618,5.8268742346593845
Burundi,Africa,1957,40.533,2667518,5.939024880360337
Burundi,Africa,1962,42.045,2961915,5.872690096943856
Burundi,Africa,1967,43.548,3330989,6.023393144989665
Burundi,Africa,1972,44.057,3529983,6.140098977295902
Burundi,Africa,1977,45.91,3834415,6.320954005602284
Burundi,Africa,1982,47.471,4580410,6.327228016541635
Burundi,Africa,1987,48.211,5126023,6.432648762364485
Burundi,Africa,1992,44.736,5809236,6.44841440445838
Burundi,Africa,1997,45.326,6121610,6.137975722517728
Burundi,Africa,2002,47.36,7021078,6.101223279763741
Burundi,Africa,2007,49.58,8390505,6.063949594245329
Cambodia,Asia,1952,39.417,4693836,5.909357358359132
Cambodia,Asia,1957,41.366,5322536,6.073132862918194
Cambodia,Asia,1962,43.415,6083619,6.208416263717119
Cambodia,Asia,1967,45.415,6960067,6.260407727204409
Cambodia,Asia,1972,40.317,7450606,6.044113982557917
Cambodia,Asia,1977,31.22,6978607,6.263345276806949
Cambodia,Asia,1982,50.957,7272485,6.436912062821926
Cambodia,Asia,1987,53.914,8371791,6.52780523520695
Cambodia,Asia,1992,55.803,10150094,6.525474097921642
Cambodia,Asia,1997,56.534,11782962,6.598897468148486
Cambodia,Asia,2002,56.752,12926707,6.798192630384196
Cambodia,Asia,2007,59.723,14131858,7.446455969467286
Cameroon,Africa,1952,38.523,5009067,7.067036479437452
Cameroon,Africa,1957,40.428,5359923,7.18010650653358
Cameroon,Africa,1962,42.643,5793633,7.243947076998406
Cameroon,Africa,1967,44.799,6335506,7.318839999449235
Cameroon,Africa,1972,47.049,7021028,7.429014202893443
Cameroon,Africa,1977,49.355,7959865,7.486295366299766
Cameroon,Africa,1982,52.961,9250831,7.769793936012759
Cameroon,Africa,1987,54.985,10780667,7.864290893983798
Cameroon,Africa,1992,54.314,12467171,7.491736533597361
Cameroon,Africa,1997,52.199,14195809,7.435047069657183
Cameroon,Africa,2002,49.856,15929988,7.56735159585094
Cameroon,Africa,2007,50.43,17696293,7.621731638185456
Canada,Americas,1952,68.75,14785584,9.3384838739506435
Canada,Americas,1957,69.96,17010154,9.432679604712911
Canada,Americas,1962,71.3,18985849,9.507662248112165
Canada,Americas,1967,72.13,20819767,9.685119333029016
Canada,Americas,1972,72.88,22284500,9.850644155254352
Canada,Americas,1977,74.21,23796400,10.002920271169712
Canada,Americas,1982,75.76,25201900,10.0388394431731
Canada,Americas,1987,76.86,26549700,10.18966280392805
Canada,Americas,1992,77.95,28523502,10.178953470441412
Canada,Americas,1997,78.61,30305843,10.273495620167752
Canada,Americas,2002,79.77,31902268,10.414182119814592
Canada,Americas,2007,80.653,33390141,10.500102769993411
Central African Republic,Africa,1952,35.463,1291695,6.976638143218513
Central African Republic,Africa,1957,37.464,1392284,7.082417853843466
Central African Republic,Africa,1962,39.475,1523478,7.084284050781023
Central African Republic,Africa,1967,41.478,1733638,7.035318435187155
Central African Republic,Africa,1972,43.457,1927260,6.975426333921048
Central African Republic,Africa,1977,46.775,2167533,7.011551475931208
Central African Republic,Africa,1982,48.295,2476971,6.863545250195883
Central African Republic,Africa,1987,50.485,2840009,6.739190285762191
Central African Republic,Africa,1992,49.396,3265124,6.6172766667889995
Central African Republic,Africa,1997,46.066,3696513,6.607334184245234
Central African Republic,Africa,2002,43.308,4048013,6.604879168601673
Central African Republic,Africa,2007,44.741,4369038,6.559638660731664
Chad,Africa,1952,38.092,2682462,7.072138507543978
Chad,Africa,1957,39.881,2894855,7.176633341758144
Chad,Africa,1962,41.716,3150417,7.236927807444
Chad,Africa,1967,43.601,3495967,7.087415434888468
Chad,Africa,1972,45.569,3899068,7.0067894135245234
Chad,Africa,1977,47.383,4388260,7.03349321259469
Chad,Africa,1982,49.517,4875118,6.68199342866275
Chad,Africa,1987,51.051,5498955,6.858970550247933
Chad,Africa,1992,51.724,6429417,6.964196385618775
Chad,Africa,1997,51.573,7562011,6.912704365027406
Chad,Africa,2002,50.525,8835739,7.052878355198191
Chad,Africa,2007,50.651,10238807,7.440771103403637
Chile,Americas,1952,54.745,6377619,8.27893061877495
Chile,Americas,1957,56.074,7048426,8.36999690897985
Chile,Americas,1962,57.924,7961258,8.41606688350189
Chile,Americas,1967,60.523,8858908,8.53829973549822
Chile,Americas,1972,63.441,9717524,8.611416314588539
Chile,Americas,1977,67.052,10599793,8.467322849624956
Chile,Americas,1982,70.565,11487112,8.536145602086554
Chile,Americas,1987,72.492,12463354,8.621024013409052
Chile,Americas,1992,74.126,13572994,8.935393654733069
Chile,Americas,1997,75.816,14599929,9.222076550817512
Chile,Americas,2002,77.86,15497046,9.285335022699966
Chile,Americas,2007,78.553,16284741,9.48582122511248
China,Asia,1952,44,556263527,5.992585446165848
China,Asia,1957,50.54896,637408000,6.356085092559288
China,Asia,1962,44.50136,665770000,6.189647187358004
China,Asia,1967,58.38112,754550000,6.4178847120011495
China,Asia,1972,63.11888,862030000,6.517523687576009
China,Asia,1977,63.96736,943455000,6.60832104615557
China,Asia,1982,65.525,1000281000,6.869452380228331
China,Asia,1987,67.274,1084035000,7.229044272760341
China,Asia,1992,68.69,1164970000,7.41202998707831
China,Asia,1997,70.426,1230075000,7.735972602183335
China,Asia,2002,72.028,1280400000,8.045357772187176
China,Asia,2007,72.961,1318683096,8.508982546938816
Colombia,Americas,1952,50.643,12350771,7.6704822035856415
Colombia,Americas,1957,55.118,14485993,7.750961457415556
Colombia,Americas,1962,57.863,17009885,7.82098176444493
Colombia,Americas,1967,59.963,19764027,7.893098020487883
Colombia,Americas,1972,61.623,22542890,8.090910914084231
Colombia,Americas,1977,63.837,25094412,8.246907682768153
Colombia,Americas,1982,66.653,27764644,8.388808681466552
Colombia,Americas,1987,67.768,30964245,8.497647227579174
Colombia,Americas,1992,68.421,34202721,8.60238850013503
Colombia,Americas,1997,70.313,37657830,8.718886195306647
Colombia,Americas,2002,71.682,41008227,8.657869491638822
Colombia,Americas,2007,72.889,44227550,8.854605046315045
Comoros,Africa,1952,40.715,153936,7.005780801631342
Comoros,Africa,1957,42.46,170928,7.099324401595935
Comoros,Africa,1962,44.467,191689,7.2489650457646535
Comoros,Africa,1967,46.472,217378,7.536912930614041
Comoros,Africa,1972,48.944,250027,7.569193850746487
Comoros,Africa,1977,50.939,304739,7.066981383025801
Comoros,Africa,1982,52.933,348643,7.144486169308767
Comoros,Africa,1987,54.926,395114,7.182337531231853
Comoros,Africa,1992,57.939,454429,7.128421660643506
Comoros,Africa,1997,60.66,527982,7.067846764369959
Comoros,Africa,2002,62.974,614382,6.980830593414075
Comoros,Africa,2007,65.152,710960,6.8938063222615895
"Congo, Dem. Rep.",Africa,1952,39.143,14100005,6.659988967440948
"Congo, Dem. Rep.",Africa,1957,40.652,15577932,6.808885022949902
"Congo, Dem. Rep.",Africa,1962,42.122,17486434,6.798291504794806
"Congo, Dem. Rep.",Africa,1967,44.056,19941073,6.758783282728785
"Congo, Dem. Rep.",Africa,1972,45.989,23007669,6.80782009566868
"Congo, Dem. Rep.",Africa,1977,47.804,26480870,6.679294217235631
"Congo, Dem. Rep.",Africa,1982,47.784,30646495,6.512855883776405
"Congo, Dem. Rep.",Africa,1987,47.412,35481645,6.5114106703836185
"Congo, Dem. Rep.",Africa,1992,45.548,41672143,6.126255853488985
"Congo, Dem. Rep.",Africa,1997,42.587,47798986,5.743606925395059
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,5.48548498096406
"Congo, Dem. Rep.",Africa,2007,46.462,64606759,5.626007793925132
"Congo, Rep.",Africa,1952,42.111,854885,7.661819470608614
"Congo, Rep.",Africa,1957,45.053,940458,7.74718940337078
"Congo, Rep.",Africa,1962,48.435,1047924,7.8098591138446345
"Congo, Rep.",Africa,1967,52.04,1179760,7.8928029875355845
"Congo, Rep.",Africa,1972,54.907,1340458,8.075007878372732
"Congo, Rep.",Africa,1977,55.625,1536769,8.089230595402649
"Congo, Rep.",Africa,1982,56.695,1774735,8.492799576131716
"Congo, Rep.",Africa,1987,57.47,2064095,8.343124272616027
"Congo, Rep.",Africa,1992,56.433,2409073,8.29810130326825
"Congo, Rep.",Africa,1997,52.962,2800947,8.155983517112023
"Congo, Rep.",Africa,2002,52.97,3328795,8.155954124840612
"Congo, Rep.",Africa,2007,55.322,3800610,8.19769230667367
Costa Rica,Americas,1952,57.206,926317,7.873601394932181
Costa Rica,Americas,1957,60.026,1112300,8.003032279087236
Costa Rica,Americas,1962,62.842,1345187,8.149294647861597
Costa Rica,Americas,1967,65.424,1588717,8.33368561173511
Costa Rica,Americas,1972,67.849,1834796,8.540547726545977
Costa Rica,Americas,1977,70.75,2108457,8.687252703516034
Costa Rica,Americas,1982,73.45,2424367,8.568406085261751
Costa Rica,Americas,1987,74.752,2799811,8.6358496798128
Costa Rica,Americas,1992,75.713,3173216,8.725899638172447
Costa Rica,Americas,1997,77.26,3518107,8.806430850415639
Costa Rica,Americas,2002,78.123,3834934,8.95201607120467
Costa Rica,Americas,2007,78.782,4133884,9.17420129338591
Cote d'Ivoire,Africa,1952,40.477,2977019,7.236047530562877
Cote d'Ivoire,Africa,1957,42.469,3300000,7.313817492120939
Cote d'Ivoire,Africa,1962,44.93,3832408,7.45522296403461
Cote d'Ivoire,Africa,1967,47.35,4744870,7.626594802966717
Cote d'Ivoire,Africa,1972,49.801,6071696,7.774099645163406
Cote d'Ivoire,Africa,1977,52.374,7459574,7.831115581251145
Cote d'Ivoire,Africa,1982,53.983,9025951,7.864308553808698
Cote d'Ivoire,Africa,1987,54.655,10761098,7.676453279468725
Cote d'Ivoire,Africa,1992,52.044,12772596,7.407362485559231
Cote d'Ivoire,Africa,1997,47.991,14625967,7.48788235453928
Cote d'Ivoire,Africa,2002,46.832,16252726,7.4078035287270225
Cote d'Ivoire,Africa,2007,48.328,18013409,7.342617436444727
Croatia,Europe,1952,61.21,3882229,8.045343545730137
Croatia,Europe,1957,64.77,3991242,8.375222082538711
Croatia,Europe,1962,67.13,4076557,8.608475272586062
Croatia,Europe,1967,68.5,4174366,8.847977548533427
Croatia,Europe,1972,69.61,4225310,9.12304787842245
Croatia,Europe,1977,70.64,4318673,9.333034454896824
Croatia,Europe,1982,70.46,4413368,9.489623913290565
Croatia,Europe,1987,71.52,4484310,9.534059050901192
Croatia,Europe,1992,72.527,4494013,9.041660724519623
Croatia,Europe,1997,73.68,4444595,9.197822804604517
Croatia,Europe,2002,74.876,4481020,9.361204710551752
Croatia,Europe,2007,75.748,4493312,9.590092566363756
Cuba,Americas,1952,59.421,6007797,8.628115193697838
Cuba,Americas,1957,62.325,6640752,8.714760334583811
Cuba,Americas,1962,65.246,7254373,8.55270625317842
Cuba,Americas,1967,68.29,8139332,8.646512628823025
Cuba,Americas,1972,70.723,8831348,8.576488978911527
Cuba,Americas,1977,72.649,9537988,8.761000954207338
Cuba,Americas,1982,73.717,9789224,8.897944494666142
Cuba,Americas,1987,74.174,10239839,8.927038660121497
Cuba,Americas,1992,74.414,10723260,8.629243195809135
Cuba,Americas,1997,76.151,10983007,8.60006090469353
Cuba,Americas,2002,77.158,11226999,8.754736042702763
Cuba,Americas,2007,78.273,11416987,9.099196824890761
Czech Republic,Europe,1952,66.87,9125183,8.835812763327882
Czech Republic,Europe,1957,69.03,9513758,9.018737143588222
Czech Republic,Europe,1962,69.9,9620282,9.223934267868263
Czech Republic,Europe,1967,70.38,9835109,9.341319939337353
Czech Republic,Europe,1972,70.29,9862158,9.481012614041456
Czech Republic,Europe,1977,70.71,10161915,9.60239331239602
Czech Republic,Europe,1982,70.96,10303704,9.640643028512477
Czech Republic,Europe,1987,71.58,10311597,9.699560881021132
Czech Republic,Europe,1992,72.4,10315702,9.567806488255522
Czech Republic,Europe,1997,74.01,10300707,9.683371553556718
Czech Republic,Europe,2002,75.51,10256295,9.775438829430662
Czech Republic,Europe,2007,76.486,10228744,10.035975648428332
Denmark,Europe,1952,70.78,4334000,9.17909582990832
Denmark,Europe,1957,71.81,4487831,9.314669697640314
Denmark,Europe,1962,72.35,4646899,9.516597370613331
Denmark,Europe,1967,72.96,4838800,9.676411982834672
Denmark,Europe,1972,73.47,4991596,9.845127622399774
Denmark,Europe,1977,74.69,5088419,9.924412172711843
Denmark,Europe,1982,74.63,5117810,9.984516257646696
Denmark,Europe,1987,74.8,5127024,10.13126737212987
Denmark,Europe,1992,75.33,5171393,10.18137455390007
Denmark,Europe,1997,76.11,5283663,10.302409489713996
Denmark,Europe,2002,77.18,5374693,10.378680819163689
Denmark,Europe,2007,78.332,5468120,10.471026688821484
Djibouti,Africa,1952,34.812,63149,7.889657509272804
Djibouti,Africa,1957,37.328,71851,7.96031283537331
Djibouti,Africa,1962,39.693,89898,8.013339627259205
Djibouti,Africa,1967,42.074,127617,8.013028836387974
Djibouti,Africa,1972,44.366,178848,8.214522644759358
Djibouti,Africa,1977,46.519,228694,8.033256472964537
Djibouti,Africa,1982,48.812,305991,7.965360857112705
Djibouti,Africa,1987,50.04,311025,7.965581186384721
Djibouti,Africa,1992,51.604,384156,7.773660174919537
Djibouti,Africa,1997,53.157,417908,7.546983080009345
Djibouti,Africa,2002,53.373,447416,7.55394756540886
Djibouti,Africa,2007,54.791,496374,7.641315522621272
Dominican Republic,Americas,1952,45.928,2491346,7.24259556827282
Dominican Republic,Americas,1957,49.828,2923186,7.34239270365264
Dominican Republic,Americas,1962,53.459,3453434,7.415859618811405
Dominican Republic,Americas,1967,56.751,4049146,7.410784390579362
Dominican Republic,Americas,1972,59.631,4671329,7.6915995147757785
Dominican Republic,Americas,1977,61.788,5302800,7.894313925130598
Dominican Republic,Americas,1982,63.727,5968349,7.958958784035217
Dominican Republic,Americas,1987,66.046,6655297,7.972411592079819
Dominican Republic,Americas,1992,68.457,7351181,8.020998089041683
Dominican Republic,Americas,1997,69.957,7992357,8.19259849649272
Dominican Republic,Americas,2002,70.847,8650322,8.425912675479731
Dominican Republic,Americas,2007,72.235,9319622,8.703734955926622
Ecuador,Americas,1952,48.357,3548753,8.16681572439397
Ecuador,Americas,1957,51.356,4058385,8.237623894824319
Ecuador,Americas,1962,54.64,4681707,8.315349694224249
Ecuador,Americas,1967,56.678,5432424,8.42925212021302
Ecuador,Americas,1972,58.796,6298651,8.57186975100221
Ecuador,Americas,1977,61.31,7278866,8.80681686673666
Ecuador,Americas,1982,64.342,8365850,8.883749926611829
Ecuador,Americas,1987,67.231,9545158,8.776749979067699
Ecuador,Americas,1992,69.613,10748394,8.868371419353098
Ecuador,Americas,1997,72.312,11911819,8.913207901786514
Ecuador,Americas,2002,74.173,12921234,8.660954865407097
Ecuador,Americas,2007,74.994,13755680,8.835394138005636
Egypt,Africa,1952,41.893,22223309,7.257582542481131
Egypt,Africa,1957,44.444,25009741,7.285448474184002
Egypt,Africa,1962,46.992,28173309,7.434455739895437
Egypt,Africa,1967,49.293,31681188,7.503775029939101
Egypt,Africa,1972,51.137,34807417,7.612835055596883
Egypt,Africa,1977,53.319,38783863,7.932180365383544
Egypt,Africa,1982,56.006,45681811,8.1615832904036
Egypt,Africa,1987,59.797,52799062,8.264996842643468
Egypt,Africa,1992,63.674,59402198,8.241375180502672
Egypt,Africa,1997,67.217,66134291,8.33643404470373
Egypt,Africa,2002,69.806,73312559,8.466868777827852
Egypt,Africa,2007,71.338,80264543,8.627155681368093
El Salvador,Americas,1952,45.262,2042865,8.022340288509426
El Salvador,Americas,1957,48.57,2355805,8.13784111628214
El Salvador,Americas,1962,52.307,2747687,8.23663332956841
El Salvador,Americas,1967,55.855,3232927,8.379905126870375
El Salvador,Americas,1972,58.207,3790903,8.416321697893878
El Salvador,Americas,1977,56.696,4282586,8.544598681604745
El Salvador,Americas,1982,56.604,4474873,8.318338311362988
El Salvador,Americas,1987,63.154,4842194,8.328557847833041
El Salvador,Americas,1992,66.798,5274649,8.399362287114169
El Salvador,Americas,1997,69.535,5783439,8.547688544471686
El Salvador,Americas,2002,70.734,6353681,8.585145005510944
El Salvador,Americas,2007,71.878,6939688,8.653183423565686
